Title,Ranking,Initial release year,Casting,Rating
      ,112,1997,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe",8.2
      Hamilton,113,2020,"Thomas Kail (dir.), Lin-Manuel Miranda, Phillipa Soo",8.2
      Heat,114,1995,"Michael Mann (dir.), Al Pacino, Robert De Niro",8.2
      Ikiru,115,1952,"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko",8.2
      Snatch,116,2000,"Guy Ritchie (dir.), Jason Statham, Brad Pitt",8.2
      Die Hard,117,1988,"John McTiernan (dir.), Bruce Willis, Alan Rickman",8.2
      Indiana Jones and the Last Crusade,118,1989,"Steven Spielberg (dir.), Harrison Ford, Sean Connery",8.2
      A Separation,119,2011,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami",8.2
      Metropolis,120,1927,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel",8.2
      Bicycle Thieves,121,1948,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola",8.2
      Incendies,122,2010,"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin",8.2
      1917,123,2019,"Sam Mendes (dir.), Dean-Charles Chapman, George MacKay",8.2
      Like Stars on Earth,124,2007,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan",8.2
      Batman Begins,125,2005,"Christopher Nolan (dir.), Christian Bale, Michael Caine",8.2
      For a Few Dollars More,126,1965,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef",8.2
      Dangal,127,2016,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar",8.2
      Downfall,128,2004,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara",8.2
      The Kid,129,1921,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance",8.2
      Some Like It Hot,130,1959,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis",8.2
      The Father,131,2020,"Florian Zeller (dir.), Anthony Hopkins, Olivia Colman",8.2
      All About Eve,132,1950,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter",8.2
      Green Book,133,2018,"Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali",8.2
      The Wolf of Wall Street,134,2013,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill",8.2
      Unforgiven,135,1992,"Clint Eastwood (dir.), Clint Eastwood, Gene Hackman",8.2
      Casino,136,1995,"Martin Scorsese (dir.), Robert De Niro, Sharon Stone",8.2
      Judgment at Nuremberg,137,1961,"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster",8.2
      Pan's Labyrinth,138,2006,"Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil",8.2
      Ran,139,1985,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao",8.2
      A Beautiful Mind,140,2001,"Ron Howard (dir.), Russell Crowe, Ed Harris",8.2
      The Sixth Sense,141,1999,"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment",8.2
      Monty Python and the Holy Grail,142,1975,"Terry Gilliam (dir.), Graham Chapman, John Cleese",8.2
      There Will Be Blood,143,2007,"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano",8.2
      The Truman Show,144,1998,"Peter Weir (dir.), Jim Carrey, Ed Harris",8.2
      Yojimbo,145,1961,"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno",8.2
      The Treasure of the Sierra Madre,146,1948,"John Huston (dir.), Humphrey Bogart, Walter Huston",8.2
      Shutter Island,147,2010,"Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer",8.2
      The Great Escape,148,1963,"John Sturges (dir.), Steve McQueen, James Garner",8.2
